225,-38.1966,100
100,-100,19.0983
225,-38.1966,100
-25,-38.1966,100
-25,-38.1966,100
100,-100,19.0983
225,-38.1966,100
-25,-38.1966,100
225,-38.1966,100
100,-100,180.902
100,-100,180.902
-25,-38.1966,100
225,-38.1966,100
100,-100,180.902
225,-38.1966,100
302.254,-200,150
100,-100,180.902
302.254,-200,150
225,-38.1966,100
302.254,-200,150
225,-38.1966,100
302.254,-200,50
302.254,-200,50
302.254,-200,150
225,-38.1966,100
302.254,-200,50
225,-38.1966,100
100,-100,19.0983
100,-100,19.0983
302.254,-200,50
-25,-361.803,100
-102.254,-200,50
-25,-361.803,100
-102.254,-200,150
-102.254,-200,50
-102.254,-200,150
-25,-361.803,100
100,-300,180.902
-25,-361.803,100
-102.254,-200,150
-102.254,-200,150
100,-300,180.902
-25,-361.803,100
100,-300,180.902
-25,-361.803,100
225,-361.803,100
100,-300,180.902
225,-361.803,100
-25,-361.803,100
225,-361.803,100
-25,-361.803,100
100,-300,19.0983
225,-361.803,100
100,-300,19.0983
-25,-361.803,100
-102.254,-200,50
-25,-361.803,100
100,-300,19.0983
-102.254,-200,50
100,-300,19.0983
-102.254,-200,50
100,-100,19.0983
-102.254,-200,50
-25,-38.1966,100
-25,-38.1966,100
100,-100,19.0983
-102.254,-200,50
-25,-38.1966,100
-102.254,-200,50
-102.254,-200,150
-25,-38.1966,100
-102.254,-200,150
-25,-38.1966,100
100,-100,180.902
-25,-38.1966,100
-102.254,-200,150
-102.254,-200,150
100,-100,180.902
100,-100,180.902
-102.254,-200,150
100,-100,180.902
100,-300,180.902
-102.254,-200,150
100,-300,180.902
100,-100,180.902
100,-300,180.902
100,-100,180.902
302.254,-200,150
100,-300,180.902
302.254,-200,150
100,-300,180.902
225,-361.803,100
100,-300,180.902
302.254,-200,150
225,-361.803,100
302.254,-200,150
225,-361.803,100
302.254,-200,50
225,-361.803,100
302.254,-200,150
302.254,-200,50
302.254,-200,150
225,-361.803,100
100,-300,19.0983
225,-361.803,100
302.254,-200,50
100,-300,19.0983
302.254,-200,50
100,-300,19.0983
100,-100,19.0983
100,-300,19.0983
302.254,-200,50
100,-100,19.0983
302.254,-200,50
100,-100,19.0983
100,-300,19.0983
100,-100,19.0983
-102.254,-200,50
-102.254,-200,50
100,-300,19.0983
